Table 1.
Free-free Gaunt factors
λ in Angstroms	Temperature in K
8000	8500	9000	9500	10000	10500	11000	11500	12000	12500	13000	13500	14000	14500	15000	15500	16000
500	1.1515	1.1550	1.1584	1.1616	1.1647	1.1677	1.1706	1.1733	1.1759	1.1783	1.1807	1.1829	1.1849	1.1869	1.1887	1.1904	1.1919
1000	1.1115	1.1128	1.1140	1.1152	1.1165	1.1177	1.1189	1.1200	1.1212	1.1224	1.1235	1.1247	1.1258	1.1269	1.1281	1.1292	1.1303
1500	1.1149	1.1164	1.1179	1.1194	1.1209	1.1223	1.1238	1.1252	1.1267	1.1281	1.1295	1.1309	1.1323	1.1337	1.1351	1.1365	1.1379
2000	1.1171	1.1188	1.1205	1.1222	1.1238	1.1255	1.1271	1.1288	1.1304	1.1320	1.1336	1.1352	1.1368	1.1384	1.1400	1.1415	1.1431
2500	1.1190	1.1208	1.1226	1.1245	1.1263	1.1281	1.1299	1.1317	1.1335	1.1353	1.1371	1.1388	1.1406	1.1424	1.1441	1.1458	1.1476
3000	1.1208	1.1228	1.1247	1.1267	1.1287	1.1306	1.1326	1.1345	1.1364	1.1383	1.1402	1.1421	1.1440	1.1459	1.1478	1.1497	1.1515
3500	1.1204	1.1226	1.1248	1.1270	1.1292	1.1314	1.1336	1.1358	1.1380	1.1402	1.1424	1.1446	1.1468	1.1491	1.1513	1.1535	1.1558
4000	1.1223	1.1247	1.1272	1.1296	1.1320	1.1344	1.1368	1.1392	1.1417	1.1441	1.1465	1.1489	1.1513	1.1537	1.1561	1.1585	1.1609
4500	1.1238	1.1264	1.1290	1.1316	1.1342	1.1368	1.1394	1.1419	1.1445	1.1471	1.1496	1.1522	1.1547	1.1573	1.1598	1.1623	1.1649
5000	1.1253	1.1281	1.1309	1.1337	1.1365	1.1392	1.1420	1.1447	1.1475	1.1502	1.1529	1.1556	1.1583	1.1610	1.1637	1.1663	1.1690
5500	1.1273	1.1303	1.1333	1.1363	1.1393	1.1423	1.1453	1.1482	1.1512	1.1541	1.1570	1.1599	1.1628	1.1657	1.1686	1.1714	1.1742
6000	1.1268	1.1300	1.1332	1.1364	1.1395	1.1427	1.1459	1.1491	1.1523	1.1554	1.1586	1.1618	1.1650	1.1682	1.1713	1.1745	1.1777
6500	1.1275	1.1309	1.1342	1.1375	1.1408	1.1442	1.1475	1.1509	1.1542	1.1576	1.1609	1.1643	1.1676	1.1710	1.1744	1.1777	1.1811
7000	1.1289	1.1324	1.1359	1.1393	1.1428	1.1463	1.1498	1.1533	1.1567	1.1602	1.1637	1.1672	1.1707	1.1742	1.1777	1.1811	1.1846
7500	1.1307	1.1343	1.1379	1.1416	1.1452	1.1488	1.1524	1.1560	1.1596	1.1632	1.1668	1.1704	1.1740	1.1776	1.1812	1.1848	1.1883
8000	1.1351	1.1391	1.1430	1.1468	1.1507	1.1546	1.1584	1.1623	1.1661	1.1699	1.1737	1.1775	1.1812	1.1850	1.1887	1.1925	1.1962
8500	1.1361	1.1402	1.1442	1.1481	1.1521	1.1560	1.1600	1.1639	1.1678	1.1717	1.1755	1.1794	1.1832	1.1870	1.1908	1.1946	1.1983
9000	1.1371	1.1413	1.1454	1.1494	1.1535	1.1575	1.1616	1.1655	1.1695	1.1735	1.1774	1.1813	1.1852	1.1890	1.1929	1.1967	1.2005
9500	1.1382	1.1425	1.1467	1.1509	1.1550	1.1591	1.1632	1.1673	1.1714	1.1754	1.1794	1.1833	1.1873	1.1912	1.1951	1.1990	1.2028
10000	1.1395	1.1438	1.1481	1.1524	1.1566	1.1609	1.1650	1.1692	1.1733	1.1774	1.1815	1.1856	1.1896	1.1936	1.1975	1.2015	1.2053
10500	1.1404	1.1449	1.1494	1.1538	1.1582	1.1625	1.1668	1.1711	1.1753	1.1795	1.1837	1.1879	1.1920	1.1961	1.2001	1.2041	1.2081
11000	1.1418	1.1464	1.1510	1.1555	1.1600	1.1645	1.1689	1.1733	1.1776	1.1819	1.1862	1.1904	1.1946	1.1988	1.2029	1.2070	1.2111
11500	1.1659	1.1721	1.1783	1.1843	1.1903	1.1962	1.2020	1.2077	1.2134	1.2190	1.2245	1.2299	1.2352	1.2405	1.2457	1.2508	1.2558
12000	1.1666	1.1728	1.1790	1.1851	1.1912	1.1971	1.2030	1.2088	1.2145	1.2202	1.2257	1.2312	1.2366	1.2419	1.2472	1.2523	1.2574
12500	1.1666	1.1729	1.1791	1.1853	1.1913	1.1973	1.2032	1.2090	1.2148	1.2204	1.2260	1.2315	1.2370	1.2423	1.2476	1.2528	1.2579
13000	1.1664	1.1727	1.1789	1.1850	1.1911	1.1971	1.2030	1.2088	1.2146	1.2202	1.2258	1.2314	1.2368	1.2422	1.2475	1.2527	1.2578
13500	1.1660	1.1723	1.1785	1.1846	1.1907	1.1966	1.2025	1.2084	1.2141	1.2198	1.2254	1.2309	1.2364	1.2417	1.2470	1.2523	1.2574
14000	1.1655	1.1718	1.1780	1.1841	1.1901	1.1961	1.2020	1.2078	1.2136	1.2193	1.2249	1.2304	1.2359	1.2412	1.2465	1.2518	1.2570
14500	1.1651	1.1714	1.1775	1.1836	1.1897	1.1956	1.2015	1.2074	1.2131	1.2188	1.2244	1.2299	1.2354	1.2408	1.2461	1.2514	1.2565
15000	1.1648	1.1710	1.1772	1.1833	1.1893	1.1953	1.2012	1.2070	1.2127	1.2184	1.2240	1.2296	1.2351	1.2405	1.2458	1.2511	1.2563
